train_ds,test_ds,model,subject,n_test,acc,bac,kappa
cho2017,lee2019,csp_lda,1,200,53.5,53.5,0.07
cho2017,lee2019,csp_lda,2,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,3,200,71.0,71.0,0.42
cho2017,lee2019,csp_lda,4,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,5,200,54.0,54.0,0.08
cho2017,lee2019,csp_lda,6,200,49.5,49.5,-0.01
cho2017,lee2019,csp_lda,7,200,60.0,60.0,0.2
cho2017,lee2019,csp_lda,8,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,9,200,52.0,52.0,0.04
cho2017,lee2019,csp_lda,10,200,57.5,57.5,0.15
cho2017,lee2019,csp_lda,11,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,12,200,54.0,54.0,0.08
cho2017,lee2019,csp_lda,13,200,48.5,48.5,-0.03
cho2017,lee2019,csp_lda,14,200,58.0,58.0,0.16
cho2017,lee2019,csp_lda,15,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,16,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,17,200,57.0,57.0,0.14
cho2017,lee2019,csp_lda,18,200,57.5,57.5,0.15
cho2017,lee2019,csp_lda,19,200,66.0,66.0,0.32
cho2017,lee2019,csp_lda,20,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,21,200,81.0,81.0,0.62
cho2017,lee2019,csp_lda,22,200,67.0,67.0,0.34
cho2017,lee2019,csp_lda,23,200,55.5,55.5,0.11
cho2017,lee2019,csp_lda,24,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,25,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,26,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,27,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,28,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,29,200,65.0,65.0,0.3
cho2017,lee2019,csp_lda,30,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,31,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,32,200,66.0,66.0,0.32
cho2017,lee2019,csp_lda,33,200,60.5,60.5,0.21
cho2017,lee2019,csp_lda,34,200,48.5,48.5,-0.03
cho2017,lee2019,csp_lda,35,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,36,200,72.0,72.0,0.44
cho2017,lee2019,csp_lda,37,200,52.5,52.5,0.05
cho2017,lee2019,csp_lda,38,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,39,200,59.0,59.0,0.18
cho2017,lee2019,csp_lda,40,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,41,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,42,200,57.0,57.0,0.14
cho2017,lee2019,csp_lda,43,200,51.5,51.5,0.03
cho2017,lee2019,csp_lda,44,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,45,200,50.0,50.0,0.0
cho2017,lee2019,csp_lda,46,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,47,200,56.0,56.0,0.12
cho2017,lee2019,csp_lda,48,200,53.5,53.5,0.07
cho2017,lee2019,csp_lda,49,200,55.5,55.5,0.11
cho2017,lee2019,csp_lda,50,200,50.5,50.5,0.01
cho2017,lee2019,csp_lda,51,200,61.5,61.5,0.23
cho2017,lee2019,csp_lda,52,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,53,200,57.5,57.5,0.15
cho2017,lee2019,csp_lda,54,200,51.0,51.0,0.02
