train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,session_ea_feature_coral,1,200,69.5,69.5,69.5,69.5,0.39
lee2019,cho2017,session_ea_feature_coral,2,200,55.5,55.5,55.49,55.5,0.11
lee2019,cho2017,session_ea_feature_coral,3,200,82.5,82.58,82.49,82.5,0.65
lee2019,cho2017,session_ea_feature_coral,4,200,83.5,83.58,83.49,83.5,0.67
lee2019,cho2017,session_ea_feature_coral,5,200,61.0,61.07,60.94,61.0,0.22
lee2019,cho2017,session_ea_feature_coral,6,200,61.5,61.5,61.5,61.5,0.23
lee2019,cho2017,session_ea_feature_coral,7,240,51.25,51.25,51.24,51.25,0.025
lee2019,cho2017,session_ea_feature_coral,8,200,60.0,60.0,60.0,60.0,0.2
lee2019,cho2017,session_ea_feature_coral,9,240,65.42,65.5,65.37,65.42,0.308
lee2019,cho2017,session_ea_feature_coral,10,200,77.5,77.5,77.5,77.5,0.55
lee2019,cho2017,session_ea_feature_coral,11,200,63.5,63.53,63.48,63.5,0.27
lee2019,cho2017,session_ea_feature_coral,12,200,75.5,75.71,75.45,75.5,0.51
lee2019,cho2017,session_ea_feature_coral,13,200,51.5,51.5,51.49,51.5,0.03
lee2019,cho2017,session_ea_feature_coral,14,200,87.5,87.53,87.5,87.5,0.75
lee2019,cho2017,session_ea_feature_coral,15,200,71.0,71.03,70.99,71.0,0.42
lee2019,cho2017,session_ea_feature_coral,16,200,61.0,61.02,60.98,61.0,0.22
lee2019,cho2017,session_ea_feature_coral,17,200,54.0,54.0,54.0,54.0,0.08
lee2019,cho2017,session_ea_feature_coral,18,200,63.0,63.01,63.0,63.0,0.26
lee2019,cho2017,session_ea_feature_coral,19,200,69.0,69.03,68.99,69.0,0.38
lee2019,cho2017,session_ea_feature_coral,20,200,70.5,70.67,70.44,70.5,0.41
lee2019,cho2017,session_ea_feature_coral,21,200,72.5,72.56,72.48,72.5,0.45
lee2019,cho2017,session_ea_feature_coral,22,200,73.5,73.5,73.5,73.5,0.47
lee2019,cho2017,session_ea_feature_coral,23,200,80.5,80.5,80.5,80.5,0.61
lee2019,cho2017,session_ea_feature_coral,24,200,72.5,72.56,72.48,72.5,0.45
lee2019,cho2017,session_ea_feature_coral,25,200,65.0,65.1,64.94,65.0,0.3
lee2019,cho2017,session_ea_feature_coral,26,200,58.5,58.6,58.37,58.5,0.17
lee2019,cho2017,session_ea_feature_coral,27,200,61.0,61.02,60.98,61.0,0.22
lee2019,cho2017,session_ea_feature_coral,28,200,48.5,48.49,48.4,48.5,-0.03
lee2019,cho2017,session_ea_feature_coral,29,200,50.5,50.5,50.5,50.5,0.01
lee2019,cho2017,session_ea_feature_coral,30,200,70.5,70.6,70.46,70.5,0.41
lee2019,cho2017,session_ea_feature_coral,31,200,68.5,68.5,68.5,68.5,0.37
lee2019,cho2017,session_ea_feature_coral,32,200,47.0,46.98,46.92,47.0,-0.06
lee2019,cho2017,session_ea_feature_coral,33,200,59.5,59.52,59.47,59.5,0.19
lee2019,cho2017,session_ea_feature_coral,34,200,48.5,48.49,48.4,48.5,-0.03
lee2019,cho2017,session_ea_feature_coral,35,200,41.5,41.49,41.49,41.5,-0.17
lee2019,cho2017,session_ea_feature_coral,36,200,74.5,74.52,74.49,74.5,0.49
lee2019,cho2017,session_ea_feature_coral,37,200,55.0,55.0,55.0,55.0,0.1
lee2019,cho2017,session_ea_feature_coral,38,200,62.5,62.56,62.45,62.5,0.25
lee2019,cho2017,session_ea_feature_coral,39,200,70.5,70.52,70.49,70.5,0.41
lee2019,cho2017,session_ea_feature_coral,40,200,48.0,47.99,47.95,48.0,-0.04
lee2019,cho2017,session_ea_feature_coral,41,200,81.5,81.5,81.5,81.5,0.63
lee2019,cho2017,session_ea_feature_coral,42,200,63.0,63.0,63.0,63.0,0.26
lee2019,cho2017,session_ea_feature_coral,43,200,95.5,95.54,95.5,95.5,0.91
lee2019,cho2017,session_ea_feature_coral,44,200,74.0,74.04,73.99,74.0,0.48
lee2019,cho2017,session_ea_feature_coral,45,200,61.0,61.0,61.0,61.0,0.22
lee2019,cho2017,session_ea_feature_coral,46,240,68.33,68.46,68.28,68.33,0.367
lee2019,cho2017,session_ea_feature_coral,47,200,69.0,69.01,69.0,69.0,0.38
lee2019,cho2017,session_ea_feature_coral,48,200,82.5,82.5,82.5,82.5,0.65
lee2019,cho2017,session_ea_feature_coral,49,200,62.5,62.51,62.49,62.5,0.25
lee2019,cho2017,session_ea_feature_coral,50,200,57.0,57.01,56.98,57.0,0.14
lee2019,cho2017,session_ea_feature_coral,51,200,59.5,59.62,59.38,59.5,0.19
lee2019,cho2017,session_ea_feature_coral,52,200,78.0,78.04,77.99,78.0,0.56
