comparison_group,baseline,candidate,backbone,candidate_family,dataset,n,mean_delta,median_delta,p10_delta,min_delta,max_delta,responder_rate_pct,large_benefit_ge5pp_pct,harm_rate_pct
NoEA_to_EA,cspnet_noea,ea_cspnet,CSPNet,EA,cho2017,52,5.66,5.0,-1.6,-5.5,29.0,80.8,51.9,17.3
NoEA_to_EA,cspnet_noea,ea_cspnet,CSPNet,EA,lee2019,54,1.69,1.5,-3.35,-4.5,12.0,59.3,22.2,35.2
NoEA_to_EA,conformer_noea,ea_conformer,Conformer,EA,cho2017,52,5.45,4.25,-2.45,-7.0,33.0,73.1,48.1,23.1
NoEA_to_EA,conformer_noea,ea_conformer,Conformer,EA,lee2019,54,0.74,0.5,-3.85,-11.0,15.5,51.9,20.4,42.6
NoEA_to_EA,eegnet_noea,ea_eegnet,EEGNet,EA,cho2017,52,3.62,3.58,-3.85,-8.0,21.5,71.2,46.2,23.1
NoEA_to_EA,eegnet_noea,ea_eegnet,EEGNet,EA,lee2019,54,1.86,2.0,-2.5,-10.5,11.0,68.5,16.7,24.1
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,CSPNet,EA+AdaBN,cho2017,52,-0.38,-1.0,-3.5,-9.0,8.5,36.5,1.9,63.5
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,CSPNet,EA+AdaBN,lee2019,54,0.54,0.5,-3.0,-8.0,11.0,51.9,9.3,37.0
EA_to_TTA,ea_conformer,ea_adabn_conformer,Conformer,EA+AdaBN,cho2017,52,1.09,1.0,-3.0,-5.0,13.0,55.8,21.2,38.5
EA_to_TTA,ea_conformer,ea_adabn_conformer,Conformer,EA+AdaBN,lee2019,54,2.6,2.25,-3.35,-6.0,14.0,66.7,29.6,29.6
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,EEGNet,EA+AdaBN,cho2017,52,0.34,0.5,-4.95,-7.5,11.0,51.9,15.4,40.4
EA_to_TTA,ea_eegnet,ea_adabn_eegnet,EEGNet,EA+AdaBN,lee2019,54,0.26,0.0,-3.85,-11.5,8.0,42.6,13.0,48.1
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,CSPNet,EA+Snapshot,cho2017,52,-0.8,-0.75,-4.0,-9.0,12.0,34.6,1.9,61.5
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,CSPNet,EA+Snapshot,lee2019,54,1.81,2.0,-2.35,-6.0,11.5,70.4,13.0,24.1
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,Conformer,EA+Snapshot,cho2017,52,-0.03,0.25,-3.95,-10.5,8.0,50.0,9.6,46.2
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,Conformer,EA+Snapshot,lee2019,54,1.07,0.5,-5.85,-12.0,16.5,51.9,20.4,44.4
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,EEGNet,EA+Snapshot,cho2017,52,-0.47,-1.5,-6.45,-11.5,11.0,36.5,11.5,57.7
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,EEGNet,EA+Snapshot,lee2019,54,-0.31,-0.75,-4.5,-6.5,9.0,38.9,11.1,55.6
EA_to_TTA,ea_cspnet,ea_tent_cspnet,CSPNet,EA+TENT,cho2017,52,0.02,0.21,-3.0,-5.5,7.0,50.0,5.8,42.3
EA_to_TTA,ea_cspnet,ea_tent_cspnet,CSPNet,EA+TENT,lee2019,54,0.82,1.0,-3.7,-8.5,8.5,57.4,11.1,35.2
EA_to_TTA,ea_conformer,ea_tent_conformer,Conformer,EA+TENT,cho2017,52,-2.49,-1.25,-9.95,-16.0,10.0,28.8,1.9,67.3
EA_to_TTA,ea_conformer,ea_tent_conformer,Conformer,EA+TENT,lee2019,54,-0.93,0.0,-5.85,-13.5,10.5,44.4,3.7,48.1
EA_to_TTA,ea_eegnet,ea_tent_eegnet,EEGNet,EA+TENT,cho2017,52,-0.15,-0.5,-3.0,-5.5,8.5,44.2,3.8,55.8
EA_to_TTA,ea_eegnet,ea_tent_eegnet,EEGNet,EA+TENT,lee2019,54,0.33,0.0,-2.5,-4.0,8.5,40.7,9.3,48.1
