train_ds,test_ds,model,subject,n_test,acc,precision,f1,bac,kappa,time_min
lee2019,cho2017,kmm_tradaboost,1,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,2,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,3,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,4,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,5,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,6,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,7,240,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,8,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,9,240,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,10,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,11,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,12,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,13,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,14,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,15,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,16,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,17,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,18,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,19,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,20,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,21,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,22,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,23,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,24,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,25,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,26,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,27,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,28,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,29,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,30,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,31,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,32,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,33,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,34,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,35,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,36,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,37,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,38,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,39,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,40,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,41,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,42,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,43,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,44,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,45,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,46,240,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,47,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,48,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,49,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,50,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,51,200,50.0,25.0,33.33,50.0,0.0,0.02
lee2019,cho2017,kmm_tradaboost,52,200,50.0,25.0,33.33,50.0,0.0,0.02
